Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,log_price,neighbor_price_mmscaled,neighbor_log_price_stdscaled,OverallQual_weight,OverallCond_weight,ExterQual_weight,ExterCond_weight,BsmtQual_weight,BsmtCond_weight,KitchenQual_weight,FireplaceQu_weight,GarageQual_weight,GarageCond_weight,PoolQC_weight,Functional_weight,total_sf,has_2nd,has_bsmt,has_garage,has_pool,log_1stFlrSF,log_2ndFlrSF,log_TotalBsmtSF,log_GrLivArea,log_LotArea,log_total_sf,house_age,remod_age,yrs_before_remod,is_remodeled,built_era,year_price
1,60,RL,65.0,8450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,NA,,,0,2,2008,WD,Normal,208500,12.24769911637256,0.4198622299024386,0.39247631403604133,0.4919383106036763,1.125140229698647,0.4731004782357291,0.7910193916083161,0.548347517841876,0.8414380290427941,0.4217845321219884,-0.9736390554138661,0.6939602722968651,1.3911454555230773,-0.9466925362138892,1.1793467749881468,2566,1,1,1,0,6.75343791859778,6.75110146893676,6.75343791859778,7.444833273892193,9.042040056544483,7.8504931808711405,5,5,0,0,post-2000,227387.36366847827
2,20,RL,80.0,9600,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,NA,,,0,5,2007,WD,Normal,181500,12.109016442313738,0.5922479716603972,0.9229605836533236,0.1360474507543501,0.45315483714149596,-0.3987887853731639,0.7910193916083161,0.548347517841876,0.8414380290427941,-0.5454255891887809,0.2409169978380875,0.6939602722968651,1.3911454555230773,-0.9466925362138892,1.1793467749881468,2524,0,1,1,0,7.141245122350491,0.0,7.141245122350491,7.141245122350491,9.169622538697624,7.83399634170946,31,31,0,0,60-80,166794.83143939395
3,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,NA,,,0,9,2008,WD,Normal,223500,12.317171167298682,0.4198622299024386,0.39247631403604133,0.4919383106036763,1.125140229698647,0.4731004782357291,0.7910193916083161,0.548347517841876,0.8414380290427941,0.4217845321219884,0.2409169978380875,0.6939602722968651,1.3911454555230773,-0.9466925362138892,1.1793467749881468,2706,1,1,1,0,6.825460036255307,6.7650389767805414,6.825460036255307,7.488293515159428,9.328212292571072,7.903596289614301,7,6,1,0,post-2000,223657.90593236714
4,70,RL,60.0,9550,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,NA,,,0,2,2006,WD,Abnorml,140000,11.849404844423074,0.47333896969243394,0.518879743394448,0.4919383106036763,1.125140229698647,-0.3987887853731639,0.7910193916083161,-0.3542190655479322,1.2795540967323715,0.4217845321219884,0.4665072995866137,0.6939602722968651,1.3911454555230773,-0.9466925362138892,1.1793467749881468,2473,1,1,1,0,6.8690144506657065,6.6293632534374485,6.6293632534374485,7.4489161025442,9.164401140034737,7.813591552952433,91,36,55,0,1900-1940,124018.55714285714
5,60,RL,84.0,14260,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,NA,,,0,12,2008,WD,Normal,250000,12.429220196836383,1.0,1.8979967119938523,0.8771361607767336,1.125140229698647,0.4731004782357291,0.7910193916083161,0.548347517841876,0.8414380290427941,0.4217845321219884,0.2409169978380875,0.6939602722968651,1.3911454555230773,-0.9466925362138892,1.1793467749881468,3343,1,1,1,0,7.044032897274685,6.960347729101308,7.044032897274685,7.695757990554761,9.565283817736766,8.114922974204593,8,8,0,0,80-2000,222266.19037681157
6,50,RL,85.0,14115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,NA,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,143000,11.870606902224587,0.24372225835603611,-0.2824568912133811,-0.12500025722977443,1.125140229698647,-0.3987887853731639,0.7910193916083161,0.548347517841876,0.8414380290427941,-0.5454255891887809,-0.9736390554138661,0.6939602722968651,1.3911454555230773,-0.9466925362138892,1.1793467749881468,2158,1,1,1,0,6.680854678790215,6.340359303727752,6.680854678790215,7.217443431696533,9.55506418479516,7.677400430514807,16,14,2,0,80-2000,226535.57667169432
7,20,RL,75.0,10084,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,NA,,,0,8,2007,WD,Normal,307000,12.634606283893019,0.535670769370434,0.7828559631391449,0.8771361607767336,1.125140229698647,0.4731004782357291,0.7910193916083161,1.6746701301184388,0.8414380290427941,0.4217845321219884,0.4665072995866137,0.6939602722968651,1.3911454555230773,-0.9466925362138892,1.1793467749881468,3380,0,1,1,0,7.43543801981455,0.0,7.430707082545968,7.43543801981455,9.218804450388312,8.125926802707886,3,2,1,0,post-2000,229216.45322071706
8,60,RL,,10382,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,NA,,Shed,350,11,2009,WD,Normal,200000,12.206077645517674,0.382198541638606,0.29541339546187356,0.4919383106036763,0.39772452605877767,-0.3987887853731639,0.7910193916083161,0.548347517841876,0.8414380290427941,-0.5454255891887809,0.2409169978380875,0.6939602722968651,1.3911454555230773,-0.9466925362138892,1.1793467749881468,3197,1,1,1,0,7.010311867307229,6.891625897052253,7.010311867307229,7.645397699428633,9.247925132303454,8.0702808933939,36,36,0,0,60-80,150821.75395256915
9,50,RM,51.0,6120,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,NA,,,0,4,2008,WD,Abnorml,129900,11.774527900858468,0.12524913304107066,-0.9585321898328607,0.4919383106036763,1.125140229698647,-0.3987887853731639,0.7910193916083161,-0.3542190655479322,0.8414380290427941,-0.5454255891887809,0.2409169978380875,-0.5593222888879998,1.3911454555230773,-0.9466925362138892,0.3334373451510953,2726,1,1,1,0,6.930494765951626,6.6240652277998935,6.859614903654202,7.4815557019095165,8.71948076085107,7.910957382845589,77,58,19,0,1900-1940,167472.8111111111
10,190,RL,50.0,7420,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,NA,,,0,1,2008,WD,Normal,118000,11.678448377988165,0.11092306981807476,-1.0294580017070376,-0.12500025722977443,0.39772452605877767,-0.3987887853731639,0.7910193916083161,-0.3542190655479322,0.8414380290427941,-0.5454255891887809,0.2409169978380875,1.1763338592150316,1.3911454555230773,-0.9466925362138892,1.1793467749881468,2068,0,1,1,0,6.982862751468942,0.0,6.899723107284872,6.982862751468942,8.912069097970134,7.634820677745543,69,58,11,0,1900-1940,128966.22888888889
