Id,LotFrontage,OverallQual,GarageCars,log_price,log_total_sf,has_2nd,has_bsmt,has_garage,has_pool,has_central_air,has_fireplace,house_age,remod_age,total_porch_sf,neighbor_log_price_stdscaled,year_price,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,Street_Pave,Utilities_NoSeWa,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Functional_Maj2,Functional_Min1,Functional_Min2,Functional_Mod,Functional_Sev,Functional_Typ
1,65.0,7,2,12.247694320220994,7.850103545175582,1,1,1,0,1,0,5,5,61,0.39247717220266787,227387.36366847827,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
2,80.0,6,2,12.109010932687042,7.8336002236611035,0,1,1,0,1,1,31,31,0,0.9229606353397185,166794.83143939395,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
3,68.0,7,2,12.31716669303576,7.903226808730733,1,1,1,0,1,1,7,6,42,0.39247717220266787,223657.90593236714,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4,60.0,7,3,11.84939770159144,7.813187267521416,1,1,1,0,1,1,91,36,307,0.5188801602152809,124018.55714285714,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
5,84.0,8,3,12.429216196844383,8.114623886420098,1,1,1,0,1,1,8,8,84,1.8979943294491743,222266.19037681157,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
6,85.0,5,2,11.870599909242044,7.67693714581808,1,1,1,0,1,0,16,14,350,-0.28245569972752177,226535.57667169432,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
7,75.0,8,2,12.634603026569334,8.125630988477065,0,1,1,0,1,1,3,2,57,0.7828563712623556,229216.45322071706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
8,,7,2,12.206072645530174,8.069968149059841,1,1,1,0,1,1,36,36,432,0.2954145274116249,150821.75395256915,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
9,51.0,7,2,11.77452020265869,7.9105906122564775,1,1,1,0,1,1,77,58,205,-0.958532470213485,167472.8111111111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
10,50.0,5,1,11.678439903447801,7.63433723562832,0,1,1,0,1,1,69,58,4,-1.0294588048578504,128966.22888888889,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
11,70.0,5,1,11.771436160121729,7.640123172695364,0,1,1,0,1,0,43,43,0,-0.6423515645075161,152061.8722222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
12,85.0,9,3,12.751299696013497,8.160232492367689,1,1,1,0,1,1,1,0,21,1.731713459407749,234915.0871160143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13,,5,1,11.877568578558138,7.508787170634276,0,1,1,0,1,0,46,46,176,-0.6423515645075161,150486.99843358394,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
14,91.0,7,3,12.540757571577291,8.002359546252707,0,1,1,0,1,1,1,0,33,0.39247717220266787,259203.19764741528,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
15,,6,1,11.964001084330445,7.826443135456014,0,1,1,0,1,1,48,48,389,-0.47610512824902335,148888.40163871218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
16,51.0,7,2,11.790557201568507,7.430114138561801,0,1,1,0,1,0,78,6,112,-1.0294588048578504,120292.53968253969,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
17,,6,2,11.911701584927597,7.60489448081162,0,1,1,0,1,1,40,40,0,-0.47610512824902335,146767.71585733106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
18,72.0,4,2,11.407564949312402,7.16703787691222,0,0,1,0,1,0,39,39,0,-0.6423515645075161,156362.70912698415,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
19,66.0,5,2,11.976659481202368,7.708859601047175,0,1,1,0,1,0,4,4,102,0.17811488445133122,229216.45322071706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
20,70.0,5,1,11.842229212112828,7.769800996003896,0,1,1,0,1,0,51,44,0,-0.47610512824902335,148924.65772893775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
